kind,name,slug,file,repo,bytes,chars,lines,nonblank,sloc,comment,tok_o200k,tok_cl100k,tok_code,tok_comment,chars_code,session_total,session_read,session_patch
fw,Angular,angular,src__material__autocomplete__autocomplete-trigger.ts,https://github.com/angular/components,39431,39431,1027,897,661,236,8811,8780,5616,3194,24496,5898,2611,269
fw,Angular,angular,src__material__datepicker__datepicker-base.ts,https://github.com/angular/components,30253,30253,882,767,595,172,6992,6939,4835,2158,20339,5401,2459,248
fw,Angular,angular,src__material__form-field__form-field.ts,https://github.com/angular/components,33748,33748,831,738,535,203,7794,7683,5118,2674,21292,6138,2707,376
fw,Angular,angular,src__material__icon__icon-registry.ts,https://github.com/angular/components,26692,26692,742,638,372,266,6319,6235,3399,2920,13853,6045,2671,355
fw,Angular,angular,src__material__schematics__ng-generate__theme-color__index.ts,https://github.com/angular/components,47713,47713,1162,1074,891,183,12555,12582,10633,1920,38082,5628,2577,263
fw,Angular,angular,src__material__select__select.ts,https://github.com/angular/components,48004,48004,1446,1248,938,310,11218,11110,7513,3705,30976,5308,2356,354
fw,Angular,angular,src__material__sidenav__drawer.ts,https://github.com/angular/components,37797,37797,1102,959,715,244,9027,8940,5884,3140,23613,5476,2408,264
fw,Angular,angular,src__material__slider__slider.ts,https://github.com/angular/components,29515,29515,982,810,691,119,7586,7501,6183,1403,23484,4686,2095,238
fw,Angular,angular,src__material__tabs__paginated-tab-header.ts,https://github.com/angular/components,26046,26046,686,592,394,198,5910,5853,3389,2521,14285,5891,2719,263
fw,Angular,angular,src__material__tooltip__tooltip.ts,https://github.com/angular/components,40330,40330,1181,1006,792,214,9354,9286,6659,2695,27534,5540,2481,288
fw,AngularJS,angularjs,src__Angular.js,https://github.com/angular/angular.js,62846,62846,2097,1875,836,1039,15960,15685,6853,9107,26084,5387,2360,249
fw,AngularJS,angularjs,src__jqLite.js,https://github.com/angular/angular.js,37279,37279,1177,994,760,234,9273,9133,6168,3107,23989,4835,2152,271
fw,AngularJS,angularjs,src__ngAnimate__animateCss.js,https://github.com/angular/angular.js,40658,40658,991,861,548,313,8851,8764,4548,4304,21387,5706,2487,341
fw,AngularJS,angularjs,src__ngMock__angular-mocks.js,https://github.com/angular/angular.js,124495,124475,3443,3105,1276,1829,29865,29664,10789,19068,45008,8081,3488,511
fw,AngularJS,angularjs,src__ngResource__resource.js,https://github.com/angular/angular.js,37978,37906,904,829,308,521,8615,8517,2604,6009,12504,5897,2621,438
fw,AngularJS,angularjs,src__ng__compile.js,https://github.com/angular/angular.js,185336,185310,4355,3983,1834,2149,41506,41205,16847,24654,76753,5450,2475,248
fw,AngularJS,angularjs,src__ng__directive__input.js,https://github.com/angular/angular.js,102537,102537,2373,2156,666,1490,25259,24896,6093,19166,22845,6906,2993,407
fw,AngularJS,angularjs,src__ng__directive__ngModel.js,https://github.com/angular/angular.js,54120,54120,1383,1281,418,863,12905,12851,3487,9413,14226,6040,2669,280
fw,AngularJS,angularjs,src__ng__http.js,https://github.com/angular/angular.js,62670,62598,1557,1432,448,984,14646,14614,3728,10914,16468,8530,3742,568
fw,AngularJS,angularjs,src__ng__parse.js,https://github.com/angular/angular.js,66056,66036,2018,1832,1668,164,15909,15808,14076,1830,57699,5644,2467,318
fw,ASP.NET CORE,asp_net_core,src__Mvc__Mvc.Abstractions__src__ModelBinding__ModelStateDictionary.cs,https://github.com/dotnet/aspnetcore,43687,43687,1267,1082,785,297,9012,8707,5317,3694,27641,4151,1894,178
fw,ASP.NET CORE,asp_net_core,src__Mvc__Mvc.Core__src__ControllerBase.cs,https://github.com/dotnet/aspnetcore,146120,146120,2847,2620,1240,1380,32583,31804,9994,22586,50065,9875,4321,565
fw,ASP.NET CORE,asp_net_core,src__Mvc__Mvc.Core__src__Diagnostics__MvcDiagnostics.cs,https://github.com/dotnet/aspnetcore,52580,52580,1430,1232,590,642,11417,11043,5981,5463,29766,5488,2439,262
fw,ASP.NET CORE,asp_net_core,src__Mvc__Mvc.Core__src__Infrastructure__ResourceInvoker.cs,https://github.com/dotnet/aspnetcore,59432,59432,1605,1362,1309,53,9463,9535,8640,823,54846,3627,1653,225
fw,ASP.NET CORE,asp_net_core,src__Mvc__Mvc.RazorPages__src__PageBase.cs,https://github.com/dotnet/aspnetcore,79300,79300,1584,1441,641,800,17530,17121,5271,12253,27205,7930,3529,408
fw,ASP.NET CORE,asp_net_core,src__Mvc__Mvc.RazorPages__src__PageModel.cs,https://github.com/dotnet/aspnetcore,84279,84279,1720,1561,720,841,18619,18179,5813,12801,29951,8184,3675,439
