Angular	TypeScript
AngularJS	JavaScript
ASP.NET CORE	C#
Astro	TypeScript
Blazor	C#
CodeIgniter	PHP
Deno	TypeScript
Django	Python
Drupal	PHP
Elm	
Express	JavaScript
FastAPI	Python
Fastify	JavaScript
Flask	Python
Flutter	Dart
Gatsby	JavaScript
htmx	JavaScript
jQuery	JavaScript
Laravel	PHP
NestJS	TypeScript
Next.js	TypeScript
Node.js	JavaScript
Nuxt.js	TypeScript
NumPy	Python
Pandas	Python
Phoenix	Elixir
Play Framework	Scala
PyTorch	Python
Qwik	TypeScript
React	TypeScript
React Native	JavaScript
Remix	TypeScript
Ruby on Rails	Ruby
Scikit-Learn	Python
Solid.js	TypeScript
Spring Boot	Java
Strapi	TypeScript
Svelte	TypeScript
Symfony	PHP
TensorFlow	Python
Vue.js	TypeScript
WordPress	PHP
Yii 2	PHP
