name	kind	repo	sparse	exts	allow_tests
Ada	lang	https://github.com/AdaCore/gnatcoll-core	-	adb,ads	0
Apex	lang	https://github.com/apex-enterprise-patterns/fflib-apex-common	-	cls	1
Assembly	lang	https://github.com/FFmpeg/FFmpeg	libavcodec/x86|libavfilter/x86|libswscale/x86	asm	0
Bash/Shell	lang	https://github.com/nvm-sh/nvm	-	sh	1
C	lang	https://github.com/postgres/postgres	src/backend	c	0
C#	lang	https://github.com/PowerShell/PowerShell	src	cs	0
C++	lang	https://github.com/protocolbuffers/protobuf	src	cc	0
Clojure	lang	https://github.com/metabase/metabase	src	clj	0
Cobol	lang	https://github.com/openmainframeproject/cobol-programming-course	-	cbl,cob	1
Crystal	lang	https://github.com/crystal-lang/crystal	src	cr	0
Dart	lang	https://github.com/flutter/flutter	packages/flutter/lib	dart	0
Delphi	lang	https://github.com/project-jedi/jcl	jcl/source	pas	0
Elixir	lang	https://github.com/elixir-lang/elixir	lib	ex	0
Erlang	lang	https://github.com/erlang/otp	lib/stdlib/src|lib/kernel/src|lib/ssl/src	erl	0
F#	lang	https://github.com/dotnet/fsharp	src/Compiler	fs	0
Fortran	lang	https://github.com/Reference-LAPACK/lapack	SRC	f	0
GDScript	lang	https://github.com/godotengine/godot-demo-projects	-	gd	1
Gleam	lang	https://github.com/gleam-lang/stdlib	src	gleam	0
Go	lang	https://github.com/prometheus/prometheus	-	go	0
Groovy	lang	https://github.com/apache/groovy	src/main/groovy	groovy	0
HTML/CSS	lang	https://github.com/ColorlibHQ/AdminLTE	-	html,css	1
Haskell	lang	https://github.com/jgm/pandoc	src	hs	0
Java	lang	https://github.com/spring-projects/spring-framework	-	java	0
JavaScript	lang	https://github.com/facebook/react	packages	js	0
Julia	lang	https://github.com/JuliaLang/julia	base	jl	0
Kotlin	lang	https://github.com/ktorio/ktor	-	kt	0
Lisp	lang	https://github.com/sbcl/sbcl	src/code	lisp	0
Lua	lang	https://github.com/neovim/neovim	runtime/lua	lua	0
MATLAB	lang	https://github.com/chebfun/chebfun	-	m	1
MicroPython	lang	https://github.com/micropython/micropython	-	py	1
Nim	lang	https://github.com/nim-lang/Nim	lib	nim	0
OCaml	lang	https://github.com/ocaml/ocaml	typing|bytecomp|driver|utils	ml	0
Objective-C	lang	https://github.com/SDWebImage/SDWebImage	SDWebImage	m	0
PHP	lang	https://github.com/symfony/symfony	src	php	0
Perl	lang	https://github.com/Perl/perl5	lib|dist	pm	0
PowerShell	lang	https://github.com/dsccommunity/SqlServerDsc	source	psm1,ps1	1
Prolog	lang	https://github.com/SWI-Prolog/swipl-devel	library	pl	0
Python	lang	https://github.com/django/django	django	py	0
R	lang	https://github.com/tidyverse/ggplot2	R	R	0
Ruby	lang	https://github.com/rails/rails	-	rb	0
Rust	lang	https://github.com/rust-lang/cargo	src	rs	0
SQL	lang	https://github.com/postgres/postgres	src/test/regress/sql	sql	1
Scala	lang	https://github.com/scala/scala	src	scala	0
Solidity	lang	https://github.com/OpenZeppelin/openzeppelin-contracts	contracts	sol	0
Swift	lang	https://github.com/apple/swift-nio	Sources	swift	0
Tcl	lang	https://github.com/tcltk/tcl	library	tcl	0
TypeScript	lang	https://github.com/angular/angular	packages	ts	0
VBA	lang	https://github.com/sancarn/stdVBA	src	cls,bas	1
Visual Basic (.Net)	lang	https://github.com/dotnet/roslyn	src/Compilers/VisualBasic	vb	0
Zig	lang	https://github.com/ziglang/zig	lib/std	zig	0
