rank,name,tei,tokens_per_task,lines_per_task,rosetta_tasks,tokens_per_sloc,tokens_per_line,chars_per_token,code_chars_per_token,rc_chars_per_token,med_tok_file,med_lines_file,session,files,sloc,lines,tok,comment_token_share,cl_ratio,repos
1,MATLAB,153,94.4,12.9,108,12.12,10.34,3.48,3.07,3.071,13473.5,1321,6568,10,7909,13323,137731,0.3,0.99,https://github.com/chebfun/chebfun
2,Groovy,151,96.1,10.7,131,10.08,8.48,4.79,4.89,3.173,3299,373.5,5981,10,2192,4224,35840,0.38,0.99,https://github.com/apache/groovy
3,Crystal,149,97.5,13.4,117,7.86,7.22,4.04,4.11,2.784,26089.5,3603.5,4657.5,10,28992,40670,293625,0.22,1,https://github.com/crystal-lang/crystal
4,Julia,149,97.5,11.5,131,10.84,9.42,3.56,3.49,2.921,15954.5,1532.5,6868,10,16717,21421,201717,0.1,1,https://github.com/JuliaLang/julia
5,Clojure,147,98.6,11,135,12.99,11.83,4.42,4.34,3.201,23640,2057.5,8014,10,16293,21219,251098,0.16,1,https://github.com/metabase/metabase
6,Ruby,141,102.7,12.6,137,9.46,9.87,4.2,4.51,2.866,17871,1922.5,7259.5,10,7066,19580,193244,0.65,0.99,https://github.com/rails/rails
7,Perl,135,107.4,13.4,138,12.74,10.27,3.54,3.42,2.813,7165.5,824.5,5996,10,8997,12565,129014,0.11,0.99,https://github.com/Perl/perl5
8,R,134,108.4,12.7,133,12.94,12.21,3.54,3.43,2.962,12966.5,1309.5,8542,6,6148,9472,115697,0.31,0.99,https://github.com/Rdatatable/data.table
9,Nim,128,113.1,15.2,139,11.65,10.68,3.45,3.27,2.956,27129,2539.5,6874.5,10,15636,25141,268509,0.32,1,https://github.com/nim-lang/Nim
10,Lisp,123,117.8,12.1,135,12.15,11.72,3.99,3.9,3.249,27071,1796.5,7644.5,10,16752,20901,245054,0.17,0.98,https://github.com/sbcl/sbcl
11,F#,123,117.9,11.3,134,12.41,10.67,4.34,4.24,3.139,33529.5,2999.5,7186,10,22709,30872,329394,0.14,1,https://github.com/dotnet/fsharp
12,Scala,120,120.2,12.1,136,12.12,10.78,4.01,3.92,3.18,24595.5,2357,7593,10,16926,25878,278991,0.26,0.99,https://github.com/scala/scala
13,Swift,120,120.2,17.2,128,8.65,8.92,4.61,4.59,3.254,15538.5,1972,5726.5,10,15050,21706,193622,0.33,1,https://github.com/apple/swift-nio
14,Haskell,117,123.3,14.6,138,11,10.21,4.08,4.05,3.164,16706,1556.5,7155,10,15061,18132,185139,0.11,0.99,https://github.com/jgm/pandoc
15,PowerShell,116,125.3,14.7,125,8.99,7.63,4.88,4.83,3.152,8010.5,1159.5,5749.5,10,7980,13607,103756,0.31,0.99,https://github.com/dsccommunity/SqlServerDsc
16,Lua,115,126.4,16.5,126,9.77,9.23,3.79,3.29,3.038,20476.5,2229,6182,10,10248,27268,251791,0.6,0.99,https://github.com/neovim/neovim
