language,rosetta_dir,tasks,tok_index,tokens_per_task,lines_index,lines_per_task,chars_per_token
MATLAB,MATLAB,108,0.6711,94.4,0.7231,12.9,3.071
Groovy,Groovy,131,0.6837,96.1,0.5984,10.7,3.173
Crystal,Crystal,117,0.6935,97.5,0.7498,13.4,2.784
Julia,Julia,131,0.6935,97.5,0.6438,11.5,2.921
Clojure,Clojure,135,0.7013,98.6,0.6184,11,3.201
Ruby,Ruby,137,0.7306,102.7,0.7062,12.6,2.866
Perl,Perl,138,0.7639,107.4,0.7517,13.4,2.813
R,R,133,0.7706,108.4,0.7108,12.7,2.962
Nim,Nim,139,0.8045,113.1,0.8548,15.2,2.956
Lisp,Common-Lisp,135,0.8378,117.8,0.6798,12.1,3.249
F#,F-Sharp,134,0.8385,117.9,0.6367,11.3,3.139
Scala,Scala,136,0.8546,120.2,0.6792,12.1,3.18
Swift,Swift,128,0.8544,120.2,0.966,17.2,3.254
Haskell,Haskell,138,0.8765,123.3,0.8181,14.6,3.164
PowerShell,PowerShell,125,0.8912,125.3,0.8273,14.7,3.152
Lua,Lua,126,0.8989,126.4,0.9268,16.5,3.038
PHP,PHP,125,0.9266,130.3,0.9674,17.2,3.076
Tcl,Tcl,139,0.9414,132.4,0.8585,15.3,3.029
MicroPython,Python,134,0.9505,133.7,0.931,16.6,3.227
Python,Python,134,0.9505,133.7,0.931,16.6,3.227
Apex,Apex,20,1.008,141.8,0.9904,17.6,3.726
SQL,SQL,38,1.0115,142.2,1.1184,19.9,3.101
GDScript,GDScript,14,1.018,143.2,1.2413,22.1,3.557
Bash/Shell,UNIX-Shell,102,1.0282,144.6,1.0529,18.8,2.84
Dart,Dart,55,1.0311,145,1.1468,20.4,3.089
Elixir,Elixir,133,1.032,145.1,0.9045,16.1,2.894
OCaml,OCaml,137,1.0356,145.6,0.9499,16.9,2.866
Gleam,Gleam,30,1.0803,151.9,1.2306,21.9,2.885
Erlang,Erlang,132,1.0822,152.2,0.9576,17.1,2.924
TypeScript,TypeScript,28,1.1134,156.6,1.0897,19.4,3.019
Kotlin,Kotlin,139,1.1197,157.5,1.0699,19.1,3.26
JavaScript,JavaScript,137,1.1211,157.7,1.1669,20.8,3.532
Prolog,Prolog,121,1.1233,158,1.002,17.8,2.796
Rust,Rust,140,1.1486,161.5,1.2235,21.8,3.41
Java,Java,136,1.236,173.8,1.3038,23.2,3.866
C#,C-sharp,139,1.2626,177.5,1.5243,27.2,4.126
Objective-C,Objective-C,50,1.3162,185.1,1.4487,25.8,3.495
Visual Basic (.Net),Visual-Basic-.NET,73,1.3659,192.1,1.3696,24.4,3.747
Delphi,Delphi,113,1.3909,195.6,1.8507,33,3.18
VBA,VBA,118,1.391,195.6,1.3318,23.7,3.237
Go,Go,139,1.4108,198.4,1.7864,31.8,3.241
C++,C++,139,1.4787,207.9,1.6654,29.7,3.416
Ada,Ada,139,1.5472,217.6,1.51,26.9,3.598
C,C,139,1.6036,225.5,1.8057,32.2,3.031
Zig,Zig,62,1.8014,253.3,1.6108,28.7,3.341
Fortran,Fortran,134,1.9298,271.4,1.8286,32.6,3.249
Cobol,COBOL,105,2.5367,356.7,2.6243,46.7,3.89
Assembly,X86-Assembly,33,3.7843,532.2,3.8516,68.6,3.108
