language,task,tokens,lines,sloc,chars
Ada,100-doors,178,23,21,656
Ada,100-prisoners,210,24,16,847
Ada,24-game,1452,173,169,5839
Ada,99-bottles-of-beer,299,40,36,1162
Ada,ABC-problem,629,79,67,2301
Ada,Accumulator-factory,89,12,5,400
Ada,Ackermann-function,158,22,20,502
Ada,Align-columns,607,66,62,2237
Ada,Almost-prime,201,26,21,651
Ada,Anagrams,502,70,64,1988
Ada,Anonymous-recursion,110,17,16,407
Ada,Anti-primes,266,39,34,941
Ada,Arbitrary-precision-integers-included-,172,17,16,512
Ada,Arithmetic-Complex,420,48,27,1480
Ada,Arithmetic-Integer,181,21,17,579
Ada,Arithmetic-geometric-mean,245,27,21,799
Ada,Array-concatenation,54,4,3,123
Ada,Arrays,510,45,28,1706
Ada,Averages-Arithmetic-mean,217,23,20,677
Ada,Averages-Mode,242,27,25,757
Ada,Averages-Pythagorean-means,208,14,13,614
Ada,Babbage-problem,617,55,10,2251
Ada,Balanced-brackets,472,58,56,1957
Ada,Binary-search,513,55,49,1765
Ada,Bitwise-operations,309,24,21,935
Ada,Bulls-and-cows,433,54,52,1696
Ada,CSV-data-manipulation,143,20,14,555
Ada,Caesar-cipher,465,59,37,1970
Ada,Case-sensitivity-of-identifiers,40,7,6,145
Ada,Catalan-numbers,133,17,15,420
Ada,Check-that-file-exists,176,21,19,657
Ada,Classes,64,10,9,264
Ada,Comma-quibbling,140,18,15,496
Ada,Count-occurrences-of-a-substring,76,10,8,400
Ada,Create-a-two-dimensional-array-at-runtime,206,22,18,692
Ada,Create-an-HTML-table,271,33,21,1007
Ada,Cumulative-standard-deviation,409,36,33,1403
Ada,Date-format,363,45,43,1465
Ada,Day-of-the-week,97,12,10,321
Ada,Department-numbers,150,23,21,628
Ada,Detect-division-by-zero,248,33,29,843
Ada,Determine-if-a-string-is-numeric,65,12,11,269
Ada,Digital-root,159,27,22,667
Ada,Dot-product,147,20,17,468
Ada,Empty-string,102,16,12,391
